CA_code,VA_code,estimate,ASE,flag
C01T,V01A,21.2,1,
C01T,V01B,20.7,1.1,
C01T,V01C,29.1,1.2,
C01T,V01D,13.7,1,
C01T,V01E,15.3,0.9,
C01T,V01M,7.6,0,
C01T,V02A,15.6,1,
C01T,V02B,13.4,0.9,
C01T,V02C,26.3,1.1,
C01T,V02D,19,1.1,
C01T,V02E,25.8,1.3,
C01T,V02M,8.1,0,
C01T,V03A,16.6,1,
C01T,V03B,17,1.1,
C01T,V03C,28.3,1.1,
C01T,V03D,16.2,1,
C01T,V03E,22,1.1,
C01T,V03M,7.9,0,
C01T,V04A,22.1,1.2,
C01T,V04B,19.8,1.1,
C01T,V04C,28.1,1.2,
C01T,V04D,13.9,1,
C01T,V04E,16.1,0.9,
C01T,V04M,7.6,0.1,
C01T,V05A,27.3,1.2,
C01T,V05B,20.4,1,
C01T,V05C,23.7,1,
C01T,V05D,11.3,0.8,
C01T,V05E,17.3,1.1,
C01T,V05M,7.4,0.1,
C01T,V06A,2.4,0.4,
C01T,V06B,5.1,0.5,
C01T,V06C,15.4,1,
C01T,V06D,38.8,1.3,
C01T,V06E,38.2,1.3,
C01T,V06M,7.7,0.1,
C01T,V07A,52.3,1.4,
C01T,V07B,16.1,1,
C01T,V07C,16.1,1,
C01T,V07D,12.2,0.8,
C01T,V07E,3.4,0.5,
C01T,V07M,3,0.1,
C01T,V08A,81.6,1.1,
C01T,V08B,7.9,0.8,
C01T,V08C,10.5,0.9,
C01T,V08M,4.6,0.1,
C01T,V09A,74.3,1.3,
C01T,V09B,14.5,1,
C01T,V09C,11.2,1,
C01T,V10A,69.1,1.5,
C01T,V10B,15.6,1,
C01T,V10C,15.3,1.2,
C01T,V11A,9.4,0.9,
C01T,V11B,55.7,1.5,
C01T,V11C,34.9,1.4,
C01T,V12A,10.6,0.9,
C01T,V12B,28.5,1.3,
C01T,V12C,45.1,1.3,
C01T,V12D,15.8,0.9,
C01T,V13A,47.7,1.3,
C01T,V13B,28,1.3,
C01T,V13C,56.9,1.3,
C01T,V13D,58.5,1.4,
C01T,V13E,28.1,1.3,
C01T,V13F,34.4,1.3,
C01T,V14A,24.5,1.1,
C01T,V14B,38.1,1.4,
C01T,V14C,22.6,1.1,
C01T,V14D,14.8,1,
C01T,V15A,24.4,1.3,
C01T,V15B,22.3,1.2,
C01T,V15C,16.3,1.1,
C01T,V15D,16.8,1,
C01T,V15E,20.2,1.1,
C01T,V16A,17.8,1.1,
C01T,V16B,7.9,0.7,
C01T,V17A,13.7,1.1,
C01T,V17B,33.4,1.5,
C01T,V17C,33.7,1.4,
C01T,V17D,19.2,1.1,
C01T,V18A,59.2,1.5,
C01T,V18B,47.6,1.4,
C01T,V18C,38.4,1.3,
C01T,V18D,32.7,1.5,
C01T,V18E,51.1,1.4,
C01T,V18F,26.4,1.2,
C01T,V18M,15.1,0.1,
C01T,V19A,20.6,1.1,
C01T,V19B,28.5,1.4,
C01T,V19C,48.5,1.5,
C01T,V19D,2.4,0.4,
C01T,V20A,4.9,0.6,
C01T,V20B,29,1.4,
C01T,V20C,66.1,1.6,
C01T,V21A,35.4,1.3,
C01T,V21B,64.6,1.3,
C01T,V22A,28.8,1.3,
C01T,V22B,49.1,1.4,
C01T,V22C,16.7,1,
C01T,V22D,5.3,0.6,
C01T,V23A,14,1,
C01T,V23B,8.2,0.8,
C01T,V23C,22.3,1,
C01T,V23D,11.2,0.8,
C01T,V23E,13.9,1,
C01T,V23F,13.3,0.9,
C01T,V23G,4.2,0.6,
C01T,V23H,12.8,0.9,
C01T,V23M,6.1,0.1,
C01T,V24A,55.1,1.5,
C01T,V24B,80.1,1.1,
C01T,V24C,42,2.1,
C01T,V24D,65.2,1.4,
C01T,V25A,21.8,1.1,
C01T,V26A,43,1.3,
C01T,V26B,17,1.1,
C01T,V26C,18.1,1,
C01T,V26D,14,1,
C01T,V26E,7.8,0.7,
C01T,V26M,3.7,0.1,
C01T,V27A,55.1,1.5,
C01T,V27B,48.1,1.2,
C01T,V27C,49.1,1.3,
C01T,V27D,36.7,1.3,
C01T,V27E,13.6,1.1,
C01T,V27F,48.3,1.5,
C01T,V28A,16.4,1.2,
C01T,V29A,58.4,1.3,
C01T,V29B,83.5,1,
C01T,V29C,64.9,1.3,
C01T,V29D,78.2,1.3,
C01T,V30A,3.9,0.5,
C01T,V30B,74.8,1,
C01T,V30C,21.2,1.1,
C01T,V31A,3.1,0.5,
C01T,V31B,72.8,1.1,
C01T,V31C,24.1,1.1,
C01T,V32A,56.1,1.4,
C01T,V32B,25.9,1,
C01T,V32C,13.9,1,
C01T,V32D,4,0.6,
C01T,V33A,67.3,1.5,
C01T,V33B,75.7,1.2,
C01T,V34A,97.1,0.5,
C01T,V34B,96.3,0.5,
C01T,V34C,92.7,0.8,
C01T,V34D,96.3,0.5,
C01T,V34E,95.5,0.6,
C01T,V34F,92.1,0.7,
C01T,V35A,1.2,0.3,
C01T,V35B,9,0.7,
C01T,V35C,21.5,1.1,
C01T,V35D,39.9,1.4,
C01T,V35E,28.3,1.3,
C01T,V35M,3.4,0,
C01T,V36A,4.3,0.5,
C01T,V36B,12.3,0.8,
C01T,V36C,33.2,1.3,
C01T,V36D,50.2,1.3,
C01T,V36M,8.2,0,
C01T,V37A,13,0.9,
C01T,V37B,28.2,1.3,
C01T,V37C,47.5,1.4,
C01T,V37D,11.4,0.9,
C01T,V37M,6.5,0.1,
C01T,V38A,17.7,1.1,
C01T,V38B,27.1,1.2,
C01T,V38C,36.3,1.1,
C01T,V38D,19,1.1,
C01T,V38M,6.4,0.1,
C01T,V39A,18.2,1,
C01T,V39B,29.5,1.3,
C01T,V39C,38,1.3,
C01T,V39D,14.3,1,
C01T,V39M,6.3,0.1,
C01T,V40A,23.8,1.1,
C01T,V40B,25.3,1.2,
C01T,V40C,34.7,1.3,
C01T,V40D,16.3,1,
C01T,V40M,6.1,0.1,
C01T,V41A,47.7,1.3,
C01T,V41B,31,1.3,
C01T,V41C,17.8,0.9,
C01T,V41D,3.5,0.6,
C01T,V41M,4.3,0.1,
C01T,V42A,37.1,1.4,
C01T,V42B,32.6,1.4,
C01T,V42C,23.8,1.1,
C01T,V42D,6.6,0.7,
C01T,V42M,4.9,0.1,
C01T,V43A,10.2,0.9,
C01T,V43B,16.2,0.9,
C01T,V43C,37.7,1.3,
C01T,V43D,35.9,1.2,
C01T,V43M,7.4,0.1,
C01T,V44A,2.3,0.4,
C01T,V44B,3.9,0.6,
C01T,V44C,10.8,0.9,
C01T,V44D,43.4,1.6,
C01T,V44E,39.5,1.4,
C01T,V45A,53.9,1.1,
C01T,V45B,59.5,1.3,
C01T,V45C,41.9,1.3,
C01T,V45D,55.8,1.4,
C01T,V46A,87.4,1,
C01T,V46B,84.3,1.1,
C01T,V46C,88.9,0.9,
C01T,V46D,55.2,1.4,
C01T,V46E,84.1,1,
C01T,V46F,84.6,1,
C01T,V47A,75.5,1.2,
C01T,V48A,7.2,0.6,
C01T,V48B,17.9,1.2,
C01T,V48C,27.1,1.2,
C01T,V48D,30,1.2,
C01T,V48E,17.8,1.2,
C01T,V48M,2.3,0,
C01T,V49A,46.8,1.6,
C01T,V49B,83.4,1,
C01T,V49C,35.2,1.5,
C01T,V50A,12.6,0.9,
C01T,V50B,42,1.5,
C01T,V50C,19.7,1.2,
C01T,V50D,25.7,1.5,
C01T,V51A,17.9,1,
C01T,V51B,56.3,1.3,
C01T,V51C,14.9,0.9,
C01T,V51D,10.8,0.8,
C01T,V52A,44.2,1.9,
C01T,V52B,30,1.8,
C01T,V52C,22.3,1.2,
C01T,V52D,30.3,1.4,
C01T,V52E,8.1,0.9,
C01T,V52F,12.6,1.2,
C01T,V52G,19.9,1.3,
C01T,V52H,38.7,1.8,
C01T,V52I,5.7,0.8,
C01T,V52J,42.6,1.7,
C01T,V52K,11.5,1,
C01T,V52L,6.9,0.8,
C01T,V52M,10.6,1,
C01T,V52N,1.2,0.4,
C01T,V53A,66.4,1.5,
C01T,V53B,30.7,1.4,
C01T,V53C,1.8,0.4,
C01T,V53D,1.1,0.4,*
C01T,V54A,69.7,1.5,
C01T,V54B,28.4,1.5,
C01T,V54C,1.3,0.4,
C01T,V54D,0.6,0.3,*
C01T,V55A,82.2,0.9,
C01T,V55B,9.7,0.8,
C01T,V55C,3.4,0.4,
C01T,V55D,4.8,0.6,
C01T,V56A,51,1.5,
C01T,V56B,40.3,1.4,
C01T,V56C,4.2,0.5,
C01T,V56D,4.5,0.6,
C01T,V57A,14.9,0.9,
C01T,V58A,32.3,3.2,
C01T,V58B,28.5,2.7,
C01T,V58C,9.6,2.2,
C01T,V58D,51.9,3.9,
C01T,V58E,12.5,2.5,
C01T,V57B,11.2,1,
C01T,V59A,14.7,3.2,
C01T,V59B,77.3,2.8,
C01T,V59C,8.7,2.2,
C01T,V59D,20.3,2.9,
C01T,V57C,9.4,0.7,
C01T,V60A,36,4.1,
C01T,V60B,27.2,4,
C01T,V60C,39.5,4,
C01T,V60D,54.3,4.5,
C01T,V60E,32.8,3.9,
C01T,V60F,20.4,3.1,
C01T,V60G,35.2,4.4,
C01T,V60H,28.1,3.7,
C01T,V60I,35.4,3.4,
C01T,V60J,12.9,2.7,
C01T,V57D,9.4,0.7,
C01T,V61A,57.5,4.2,
C01T,V61B,75.1,3.3,
C01T,V61C,70.9,4,
C01T,V61D,56.6,4.5,
C01T,V61E,32.7,3.8,
C01T,V61F,35.1,3.8,
C01T,V61G,34.2,3.6,
C01T,V61H,2.9,1.4,*
C01T,V57E,60.6,1.3,
C01T,V62A,79,1.2,
C01T,V62B,67.5,1.4,
C01T,V62C,83.4,1.1,
C01T,V62D,56.2,1.6,
C01T,V63A,36.3,1.9,
C01T,V63B,17.8,1.7,
C01T,V63C,47.7,2.1,
C01T,V63D,21.9,1.6,
C01T,V63E,36.8,1.9,
C01T,V63F,11,1.1,
C01T,V63G,9.1,1.1,
C01T,V64A,27.6,1.1,
C01T,V64B,40.8,1.4,
C01T,V64C,53,1.4,
C01T,V64D,47,1.4,
C01T,V65A,17785.8,1286.9,
C01T,V65B,21963.4,1764.5,
C01T,V65C,39749.2,2190.4,
C01T,V66A,15.5,1.1,
C01T,V66B,13,0.9,
C01T,V66C,18.1,0.9,
C01T,V67A,32.5,1.5,
C01T,V67B,20.6,1.6,
C01T,V67C,13.2,1.5,
C01T,V67D,6.2,1,
C01T,V67E,7.2,0.9,
C01T,V67F,20.3,1.3,
C01T,V68A,4.7,0.4,
C01T,V68B,7.6,0.8,
C01T,V68C,8.2,1,
C01T,V68D,5.6,0.9,
C01T,V68E,8.6,1.2,
C01T,V68F,65.4,2.2,
C01T,V69A,715,39.4,
C01T,V69B,453.4,36.2,
C01T,V69C,290.2,33.2,
C01T,V69D,135.9,21.8,
C01T,V69E,159.2,20.8,
C01T,V69F,445.5,32.1,
C01T,V70A,10.5,1.5,
C01T,V70B,32.3,2.2,
C01T,V70C,15.3,1.5,
C01T,V70D,26.3,2.4,
C01T,V70E,9.5,1.4,
C01T,V70F,11.6,1.8,
C01T,V70G,11.3,1.6,
C01T,V70H,13.5,1.7,
C01T,V70I,9.3,1.5,
C01T,V71A,21963.4,1764.5,
C01T,V71B,1782,365.5,
C01T,V71C,4187.9,623.3,
C01T,V71D,1681.6,388.4,
C01T,V71E,3424.8,761.2,
C01T,V71F,1304.8,406.2,*
C01T,V71G,1454.9,463.6,*
C01T,V71H,1427.7,352.2,
C01T,V71I,1456.4,324.4,
C01T,V71J,1065.7,305.9,
C01T,V71K,17785.8,1286.9,
C01T,V71L,39749.2,2190.4,
C01T,V72A,12.4,1.3,
C01T,V72B,16.3,1.3,
C01T,V72C,8.1,0.9,
C01T,V72D,12.3,1.1,
C01T,V72E,11.4,1,
C01T,V72F,46.1,1.7,
C01T,V72G,2.1,0.4,
C01T,V72H,8.1,0.9,
C01T,V72I,5.8,0.6,
C01T,V72J,8.2,1,
C01T,V72K,1,0.3,
C01T,V72L,4.4,0.8,
C01T,V73A,18,1.7,
C01T,V73B,23.4,1.8,
C01T,V73C,10,1.2,
C01T,V73D,8.3,1,
C01T,V73E,10.8,1,
C01T,V73F,41.3,1.9,
C01T,V73G,1.9,0.4,
C01T,V73H,6.2,1,
C01T,V73I,3.8,0.6,
C01T,V73J,5.5,0.8,
C01T,V73K,3.3,0.6,
C02A,V00T,15.3,0,
C02A,V01A,18.6,3.3,
C02A,V01B,24.6,3.5,
C02A,V01C,29.5,3,
C02A,V01D,15.5,3.3,
C02A,V01E,11.8,2.5,
C02A,V01M,7.6,0.1,
C02A,V02A,9.4,2.2,
C02A,V02B,17,2.9,
C02A,V02C,31.9,3.8,
C02A,V02D,17.7,3.1,
C02A,V02E,24,3.7,
C02A,V02M,8.2,0.1,
C02A,V03A,22.8,3.4,
C02A,V03B,19,3.1,
C02A,V03C,26,3.7,
C02A,V03D,15.2,3.1,
C02A,V03E,17,3.1,
C02A,V03M,7.7,0.1,
C02A,V04A,21.6,3.5,
C02A,V04B,23.3,4.2,
C02A,V04C,28.8,3.2,
C02A,V04D,14.4,2.4,
C02A,V04E,11.8,2.4,
C02A,V04M,7.5,0.1,
C02A,V05A,28.2,3.2,
C02A,V05B,20.2,2.8,
C02A,V05C,23.4,3.3,
C02A,V05D,12.6,2.6,
C02A,V05E,15.6,3,
C02A,V05M,7.4,0.1,
C02A,V06A,2.2,1.3,**
C02A,V06B,5.1,1.8,*
C02A,V06C,20.7,2.9,
C02A,V06D,38.2,3.8,
C02A,V06E,33.7,3.7,
C02A,V06M,7.4,0.2,
C02A,V07A,43.9,4.8,
C02A,V07B,20.7,3.7,
C02A,V07C,18.6,2.9,
C02A,V07D,13.7,2.6,
C02A,V07E,3,1.3,*
C02A,V07M,3.4,0.2,
C02A,V08A,81.2,3.2,
C02A,V08B,6.4,2.1,*
C02A,V08C,12.4,3,
C02A,V08M,4.1,0.3,
C02A,V09A,66.9,5,
C02A,V09B,18.8,3.9,
C02A,V09C,14.3,3.8,
C02A,V10A,67.5,4.3,
C02A,V10B,18.1,3.5,
C02A,V10C,14.4,3.8,
C02A,V11A,16.4,3.4,
C02A,V11B,59.9,4.6,
C02A,V11C,23.7,3.6,
C02A,V12A,11,2.5,
C02A,V12B,26,3.5,
C02A,V12C,51,4,
C02A,V12D,11.9,2.7,
C02A,V13A,49.9,4.7,
C02A,V13B,28.4,3.6,
C02A,V13C,57,4.5,
C02A,V13D,55.5,5.1,
C02A,V13E,31.7,3.6,
C02A,V13F,33,3.6,
C02A,V14A,13.9,3,
C02A,V14B,41.8,4.3,
C02A,V14C,32,3.7,
C02A,V14D,12.4,2.9,
C02A,V15A,12.3,3.2,
C02A,V15B,20.6,3.3,
C02A,V15C,22.4,3.5,
C02A,V15D,20.7,3,
C02A,V15E,24,3.5,
C02A,V16A,18.5,4,
C02A,V16B,9.2,2.4,
C02A,V17A,16.2,4,
C02A,V17B,38.6,4.2,
C02A,V17C,32.5,3.8,
C02A,V17D,12.7,2.5,
C02A,V18A,57.7,4.2,
C02A,V18B,45.3,4.3,
C02A,V18C,43.3,3.9,
C02A,V18D,26.2,4,
C02A,V18E,46,4,
C02A,V18F,24.8,3.6,
C02A,V18M,15.2,0.4,
C02A,V19A,19.9,3.7,
C02A,V19B,31.4,4.4,
C02A,V19C,45.8,4.6,
C02A,V19D,2.8,1.1,*
C02A,V20A,3.9,1.6,*
C02A,V20B,28.8,3.6,
C02A,V20C,67.3,3.6,
C02A,V21A,38.7,4.8,
C02A,V21B,61.3,4.8,
C02A,V22A,35.8,4.2,
C02A,V22B,46.1,4.3,
C02A,V22C,14.8,3,
C02A,V22D,3.3,1.6,*
C02A,V23A,14.2,2.5,
C02A,V23B,11.1,2.9,
C02A,V23C,19.5,3,
C02A,V23D,10.8,2.9,
C02A,V23E,16.9,2.6,
C02A,V23F,14.5,2.7,
C02A,V23G,3.3,1.3,*
C02A,V23H,9.7,2.3,
C02A,V23M,6,0.2,
C02A,V24A,50.4,4.7,
C02A,V24B,77.8,3.6,
C02A,V24C,37,4.1,
C02A,V24D,68.6,3.8,
C02A,V25A,24.8,3.4,
C02A,V26A,39.9,4.2,
C02A,V26B,22.1,3.6,
C02A,V26C,22.3,3.1,
C02A,V26D,11,2.5,
C02A,V26E,4.7,1.4,*
C02A,V26M,3.6,0.2,
C02A,V27A,49.8,4.5,
C02A,V27B,49.6,3.9,
C02A,V27C,58.7,4.2,
C02A,V27D,44.1,3.8,
C02A,V27E,16.3,3.6,
C02A,V27F,55.5,4.6,
C02A,V28A,21.1,3.9,
C02A,V29A,49.2,4.4,
C02A,V29B,74.9,3.2,
C02A,V29C,73.6,3.4,
C02A,V29D,88.3,2.8,
C02A,V30A,2.8,1.2,*
C02A,V30B,73.3,3.6,
C02A,V30C,23.9,3.5,
C02A,V31A,7.1,1.9,
C02A,V31B,75.6,3.6,
C02A,V31C,17.3,2.8,
C02A,V32A,42.2,4.1,
C02A,V32B,34.4,4.1,
C02A,V32C,17.1,3.4,
C02A,V32D,6.3,1.7,
C02A,V33A,58.5,4.5,
C02A,V33B,73.8,3.6,
C02A,V34A,95,1.9,
C02A,V34B,95.9,1.6,
C02A,V34C,90.1,2.5,
C02A,V34D,95.4,1.7,
C02A,V34E,94,2.1,
C02A,V34F,91.5,2.2,
C02A,V35A,2.2,1.2,**
C02A,V35B,11.7,2.4,
C02A,V35C,23.8,3.4,
C02A,V35D,38.9,3.8,
C02A,V35E,23.5,3.6,
C02A,V35M,3.4,0,
C02A,V36A,5.4,1.8,*
C02A,V36B,17.5,2.8,
C02A,V36C,40.4,4.1,
C02A,V36D,36.7,3.3,
C02A,V36M,7.7,0.1,
C02A,V37A,15.6,2.6,
C02A,V37B,33.8,3.8,
C02A,V37C,42.7,3.7,
C02A,V37D,7.9,2.2,
C02A,V37M,6.2,0.1,
C02A,V38A,14.7,3,
C02A,V38B,30.1,3.7,
C02A,V38C,39.1,4,
C02A,V38D,16.1,3.5,
C02A,V38M,6.5,0.2,
C02A,V39A,18.3,3.4,
C02A,V39B,32.6,4.4,
C02A,V39C,35.8,4.2,
C02A,V39D,13.3,3.4,
C02A,V39M,6.3,0.2,
C02A,V40A,15.6,2.6,
C02A,V40B,25.2,3.4,
C02A,V40C,40.1,4.3,
C02A,V40D,19.1,3,
C02A,V40M,6.7,0.2,
C02A,V41A,45.6,3.5,
C02A,V41B,35.8,3.2,
C02A,V41C,15.9,2.7,
C02A,V41D,2.7,1.4,**
C02A,V41M,4.5,0.2,
C02A,V42A,30.2,3.8,
C02A,V42B,34.7,4.1,
C02A,V42C,28.6,3.6,
C02A,V42D,6.6,2,*
C02A,V42M,5.3,0.2,
C02A,V43A,12.7,2.4,
C02A,V43B,21.2,3.2,
C02A,V43C,41.4,3.6,
C02A,V43D,24.7,3.6,
C02A,V43M,7,0.2,
C02A,V44A,2.9,1.1,*
C02A,V44B,7.3,2.2,
C02A,V44C,13.2,2.8,
C02A,V44D,51.2,4.2,
C02A,V44E,25.5,3.8,
C02A,V45A,65.9,3.7,
C02A,V45B,65.7,3.9,
C02A,V45C,48.8,4.1,
C02A,V45D,65.1,4,
C02A,V46A,85.2,3.1,
C02A,V46B,82.2,3.4,
C02A,V46C,88.4,2.6,
C02A,V46D,63.5,3.6,
C02A,V46E,84.3,2.9,
C02A,V46F,83.3,3,
C02A,V47A,75.5,3.4,
C02A,V48A,7.1,2,
C02A,V48B,17.6,3.2,
C02A,V48C,30.8,4.3,
C02A,V48D,29.6,4.2,
C02A,V48E,14.9,3.7,
C02A,V48M,2.3,0.1,
C02A,V49A,44.5,3.7,
C02A,V49B,79.9,3.8,
C02A,V49C,29.8,3.7,
C02A,V50A,9.4,2.7,
C02A,V50B,38.6,3.9,
C02A,V50C,31.2,4.2,
C02A,V50D,20.9,3.4,
C02A,V51A,14.2,3.3,
C02A,V51B,54,4.1,
C02A,V51C,23,3.4,
C02A,V51D,8.8,2.1,
C02A,V52A,31.5,4.6,
C02A,V52B,25.2,4.3,
C02A,V52C,15.9,3.1,
C02A,V52D,23.6,4.3,
C02A,V52E,7.1,2,
C02A,V52F,9,2.6,
C02A,V52G,12.1,2.5,
C02A,V52H,14.1,3.7,
C02A,V52I,5.8,2,*
C02A,V52J,79.3,3.5,
C02A,V52K,10.6,2.6,
C02A,V52L,2.6,1.4,**
C02A,V52M,13.3,3.2,
C02A,V52N,S,S,
C02A,V53A,79.2,3.7,
C02A,V53B,17.6,3.6,
C02A,V53C,1.9,1.1,**
C02A,V53D,1.4,1.2,**
C02A,V54A,67.4,4.2,
C02A,V54B,30.5,4.3,
C02A,V54C,1.7,1.1,**
C02A,V54D,S,S,
C02A,V55A,96.6,1.6,
C02A,V55B,2.5,1.4,**
C02A,V55C,S,S,
C02A,V55D,S,S,
C02A,V56A,61,4.1,
C02A,V56B,34.3,4,
C02A,V56C,3.2,1.3,*
C02A,V56D,1.5,1,**
C02A,V57A,17.3,2.7,
C02A,V58A,26.5,7.6,
C02A,V58B,18.3,7.1,*
C02A,V58C,12.2,6.8,**
C02A,V58D,68.1,8.6,
C02A,V58E,13.9,6.4,*
C02A,V57B,10.1,2.3,
C02A,V59A,12.3,11.5,**
C02A,V59B,88.5,7.2,
C02A,V59C,S,S,
C02A,V59D,15.4,9.8,**
C02A,V57C,2.6,1.4,**
C02A,V60A,S,S,
C02A,V60B,S,S,
C02A,V60C,S,S,
C02A,V60D,S,S,
C02A,V60E,S,S,
C02A,V60F,S,S,
C02A,V60G,S,S,
C02A,V60H,S,S,
C02A,V60I,35.7,29.6,**
C02A,V60J,S,S,
C02A,V57D,8.5,2.4,
C02A,V61A,33,12.5,*
C02A,V61B,57.4,12.4,
C02A,V61C,69.4,13.4,
C02A,V61D,49.3,12.9,
C02A,V61E,28,12.3,*
C02A,V61F,32.7,12.2,*
C02A,V61G,23.6,11.6,*
C02A,V61H,S,S,
C02A,V57E,64.2,4,
C02A,V62A,86.9,2.7,
C02A,V62B,71.2,3.9,
C02A,V62C,77.5,3.8,
C02A,V62D,58.8,4.1,
C02A,V63A,39.8,6.1,
C02A,V63B,12.4,3.5,
C02A,V63C,40,5.8,
C02A,V63D,10.2,3.7,*
C02A,V63E,31.4,5.5,
C02A,V63F,15.8,3.8,
C02A,V63G,4.9,2.4,*
C02A,V64A,24.3,3.3,
C02A,V64B,32.5,3.9,
C02A,V64C,45.8,4,
C02A,V64D,54.2,4,
C02A,V65A,2822.6,946.1,*
C02A,V65B,1976.1,491.3,
C02A,V65C,4798.7,1090.9,
C02A,V66A,18.4,5.6,*
C02A,V66B,9.7,2.2,
C02A,V66C,16.7,3.5,
C02A,V67A,37.9,6,
C02A,V67B,18.2,4.7,
C02A,V67C,14.3,3.7,
C02A,V67D,4,2.1,**
C02A,V67E,8,3.4,*
C02A,V67F,17.6,4.8,
C02A,V68A,5.4,1.6,*
C02A,V68B,7,2.6,*
C02A,V68C,9.5,3.5,*
C02A,V68D,3.9,2.5,**
C02A,V68E,10.1,4.8,*
C02A,V68F,64,10.2,
C02A,V69A,108.8,20.6,
C02A,V69B,52.1,13.6,
C02A,V69C,41,11.4,
C02A,V69D,11.4,6.1,**
C02A,V69E,23,10.1,*
C02A,V69F,50.5,14.3,
C02A,V70A,10.2,5.3,**
C02A,V70B,36.9,9.2,
C02A,V70C,17,6.6,*
C02A,V70D,29,7.7,
C02A,V70E,9.6,4.6,*
C02A,V70F,13.7,6.3,*
C02A,V70G,8.1,4.4,**
C02A,V70H,9.4,4.3,*
C02A,V70I,4.6,3.4,**
C02A,V71A,1976.1,491.3,
C02A,V71B,263.7,182.9,**
C02A,V71C,541.6,258.5,*
C02A,V71D,397.1,319.9,**
C02A,V71E,808.6,562.4,**
C02A,V71F,244.4,167.3,**
C02A,V71G,276.1,187.6,**
C02A,V71H,93.9,57.2,**
C02A,V71I,161.3,121.1,**
C02A,V71J,36,32.4,**
C02A,V71K,2822.6,946.1,*
C02A,V71L,4798.7,1090.9,
C02A,V72A,13.8,3.1,
C02A,V72B,24.7,4.2,
C02A,V72C,14.5,3.2,
C02A,V72D,7,2.6,*
C02A,V72E,3.9,2,**
C02A,V72F,42.4,4.5,
C02A,V72G,2.3,1.2,**
C02A,V72H,6.4,2.6,*
C02A,V72I,3.3,1.4,*
C02A,V72J,15.4,3.6,
C02A,V72K,0.7,0.6,**
C02A,V72L,3.8,2.1,**
C02A,V73A,18.3,3.9,
C02A,V73B,32.6,4.3,
C02A,V73C,14.3,3.2,
C02A,V73D,6.4,2.6,*
C02A,V73E,2.6,1.6,**
C02A,V73F,44.2,4.8,
C02A,V73G,1.9,1.4,**
C02A,V73H,5.4,2.8,**
C02A,V73I,1.6,1,**
C02A,V73J,8.7,2.9,*
C02A,V73K,1.5,1.4,**
C02B,V00T,35,0,
C02B,V01A,22.9,1.8,
C02B,V01B,22.6,2,
C02B,V01C,28.4,2.2,
C02B,V01D,12,1.6,
C02B,V01E,14,1.8,
C02B,V01M,7.5,0.1,
C02B,V02A,11.6,1.5,
C02B,V02B,13,1.6,
C02B,V02C,26.1,2,
C02B,V02D,22.2,2.1,
C02B,V02E,27.1,2,
C02B,V02M,8.3,0.1,
C02B,V03A,17.2,1.6,
C02B,V03B,18.1,1.7,
C02B,V03C,29,1.7,
C02B,V03D,15.1,1.7,
C02B,V03E,20.6,2,
C02B,V03M,7.9,0.1,
C02B,V04A,22.7,2,
C02B,V04B,21,1.8,
C02B,V04C,27.3,1.9,
C02B,V04D,13.3,1.6,
C02B,V04E,15.8,1.8,
C02B,V04M,7.5,0.1,
C02B,V05A,28.1,2.1,
C02B,V05B,20.6,1.8,
C02B,V05C,24.4,2.1,
C02B,V05D,10.8,1.2,
C02B,V05E,16.2,1.7,
C02B,V05M,7.3,0.1,
C02B,V06A,2.2,0.5,
C02B,V06B,5.7,1.1,
C02B,V06C,15.7,1.7,
C02B,V06D,39.5,2.2,
C02B,V06E,36.8,2,
C02B,V06M,7.6,0.1,
C02B,V07A,48.3,2.5,
C02B,V07B,17.1,1.8,
C02B,V07C,17.5,1.6,
C02B,V07D,13,1.4,
C02B,V07E,4.1,0.9,
C02B,V07M,3.2,0.2,
C02B,V08A,79.7,1.8,
C02B,V08B,8.7,1.4,
C02B,V08C,11.6,1.4,
C02B,V08M,4.4,0.2,
C02B,V09A,73.9,2.2,
C02B,V09B,14.5,1.7,
C02B,V09C,11.5,1.5,
C02B,V10A,67,2.4,
C02B,V10B,17,1.8,
C02B,V10C,16,1.7,
C02B,V11A,7.5,1.5,
C02B,V11B,47.7,2.6,
C02B,V11C,44.8,2.5,
C02B,V12A,11,1.4,
C02B,V12B,33.6,2.2,
C02B,V12C,41.4,2.5,
C02B,V12D,13.9,1.6,
C02B,V13A,57.2,2,
C02B,V13B,36.9,2.5,
C02B,V13C,68,2,
C02B,V13D,71.4,2.1,
C02B,V13E,33.1,2,
C02B,V13F,43.2,2.4,
C02B,V14A,15.6,1.7,
C02B,V14B,37.8,2.2,
C02B,V14C,27,1.9,
C02B,V14D,19.6,1.7,
C02B,V15A,17.2,2.1,
C02B,V15B,22.2,2.3,
C02B,V15C,18.5,1.8,
C02B,V15D,19,1.8,
C02B,V15E,23.1,1.7,
C02B,V16A,25.1,2.2,
C02B,V16B,10.5,1.4,
C02B,V17A,14.6,1.8,
C02B,V17B,33.2,2.5,
C02B,V17C,33.4,2.3,
C02B,V17D,18.8,1.7,
C02B,V18A,56.6,2.1,
C02B,V18B,40.5,2.1,
C02B,V18C,38.7,2.4,
C02B,V18D,27.8,2.2,
C02B,V18E,45.9,2.4,
C02B,V18F,28.7,2.2,
C02B,V18M,14.8,0.2,
C02B,V19A,27.3,2.1,
C02B,V19B,30.9,2.2,
C02B,V19C,38.1,2.4,
C02B,V19D,3.8,0.8,
C02B,V20A,7.3,1.3,
