"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w19",2004-05-07,"Diesel","Importer cost",47.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Price excluding tax",62.2,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","GST",7.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Board price",70.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Adjusted retail price",70.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Importer margin",18.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Diesel","Importer margin trend",18.3404859093735,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer cost",53.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Price excluding tax",62.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","GST",13,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Board price",117.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Adjusted retail price",117.3,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer margin",13.8,"NZD c/L","Final"
"2004w19",2004-05-07,"Regular Petrol","Importer margin trend",13.6651805324146,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer cost",55.80942857,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer margin",15.02557143,"NZD c/L","Final"
"2004w19",2004-05-07,"Premium Petrol 95R","Importer margin trend",13.7693203202612,"NZD c/L","Final"
"2004w20",2004-05-14,"NA","Dubai crude price",34.41,"USD/bbl","Final"
"2004w20",2004-05-14,"NA","Dubai crude price",56.55,"NZD/bbl","Final"
"2004w20",2004-05-14,"NA","Exchange rate",0.609,"USD/NZD","Final"
"2004w20",2004-05-14,"Diesel","Importer cost",48.1,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Price excluding tax",66.2,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","GST",8.3,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Taxes",0.399999999999999,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Board price",74.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Adjusted retail price",74.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Importer margin",20.5,"NZD c/L","Final"
"2004w20",2004-05-14,"Diesel","Importer margin trend",18.343817613961,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer cost",56.4,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Price excluding tax",66.4,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","GST",13.5,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Board price",121.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer margin",14.2,"NZD c/L","Final"
"2004w20",2004-05-14,"Regular Petrol","Importer margin trend",13.6505569501883,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer cost",57.75228571,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Price excluding tax",70.835,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","GST",14.1,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Board price",126.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Adjusted retail price",126.9,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer margin",13.08271429,"NZD c/L","Final"
"2004w20",2004-05-14,"Premium Petrol 95R","Importer margin trend",13.7659218054089,"NZD c/L","Final"
"2004w21",2004-05-21,"NA","Dubai crude price",35.77,"USD/bbl","Final"
"2004w21",2004-05-21,"NA","Dubai crude price",59.4,"NZD/bbl","Final"
"2004w21",2004-05-21,"NA","Exchange rate",0.602,"USD/NZD","Final"
"2004w21",2004-05-21,"Diesel","Importer cost",46.5,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Price excluding tax",65.7,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","ETS",0,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","GST",8.3,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Taxes",0.299999999999999,"NZD c/L","Final"
"2004w21",2004-05-21,"Diesel","Board price",74.3,"NZD c/L","Final"
