Country,World,Singapore,Malaysia,Indonesia,India,Argentina,Mexico,Thailand,Australia,US,Poland,Belgium,Brazil,Colombia,Spain,Israel,Canada,Great Britain,South Africa,Italy,Chile,Sweden,Netherlands,Türkiye,Hungary,Japan,Germany,South Korea,France,Peru
Right Track,37,81,69,63,62,59,58,56,48,43,41,36,35,33,32,31,31,29,28,28,27,27,27,24,23,21,21,17,15,10
Wrong Track,63,19,31,37,38,41,42,44,52,57,59,64,65,67,68,69,69,71,72,72,73,73,73,76,77,79,79,83,58,90
