year,month,price,currency
2020,Apr,2.019,USD
2020,May,1.64,USD
2020,Jun,1.554,USD
2020,Jul,1.401,USD
2020,Aug,1.328,USD
2020,Sep,1.353,USD
2020,Oct,1.408,USD
2020,Nov,1.45,USD
2020,Dec,1.481,USD
2021,Jan,1.466,USD
2021,Feb,1.597,USD
2021,Mar,1.625,USD
2021,Apr,1.62,USD
2021,May,1.625,USD
2021,Jun,1.642,USD
2021,Jul,1.642,USD
2021,Aug,1.709,USD
2021,Sep,1.835,USD
2021,Oct,1.821,USD
2021,Nov,1.718,USD
2021,Dec,1.788,USD
2022,Jan,1.929,USD
2022,Feb,2.005,USD
2022,Mar,2.046,USD
2022,Apr,2.52,USD
2022,May,2.863,USD
2022,Jun,2.707,USD
2022,Jul,2.936,USD
2022,Aug,3.116,USD
2022,Sep,2.902,USD
2022,Oct,3.419,USD
2022,Nov,3.589,USD
2022,Dec,4.25,USD
2023,Jan,4.823,USD
2023,Feb,4.211,USD
2023,Mar,3.446,USD
2023,Apr,3.27,USD
2023,May,2.666,USD
2023,Jun,2.219,USD
2023,Jul,2.094,USD
2023,Aug,2.043,USD
2023,Sep,2.065,USD
2023,Oct,2.072,USD
2023,Nov,2.138,USD
2023,Dec,2.507,USD
2024,Jan,2.522,USD
2024,Feb,2.996,USD
2024,Mar,2.992,USD
2024,Apr,2.864,USD
2024,May,2.699,USD
2024,Jun,2.715,USD
2024,Jul,3.08,USD
2024,Aug,3.204,USD
2024,Sep,3.821,USD
2024,Oct,3.37,USD
2024,Nov,3.649,USD
2024,Dec,4.146,USD
2025,Jan,4.953,USD
2025,Feb,5.897,USD
2025,Mar,6.227,USD
2025,Apr,NA,USD
2025,May,NA,USD
2025,Jun,NA,USD
2025,Jul,NA,USD
2025,Aug,NA,USD
2025,Sep,NA,USD
2025,Oct,NA,USD
2025,Nov,NA,USD
2025,Dec,NA,USD
