library_type_3,name,street_address,latitude,longitude
Public,Hauraki District Libraries,"5 Mackay Street
Paeroa 3600
New Zealand",NA,NA
Public,HB Williams Memorial Library,"34 Bright Street
Gisborne 4010
New Zealand",-38.6652745,178.0255264
Tertiary,"Hewitson Library, Presbyterian Research Centre","Arden Street
Opoho
Dunedin 9010
New Zealand",-45.8553482,170.5260122
Public,Horowhenua District Council,"10 Bath Street
Levin 5510
New Zealand",-40.6221868,175.2814774
Public,Hurunui District Library,"111 Carters Road
Amberley 7410
New Zealand",-43.1550258,172.7303872
Public,Hutt City Libraries,"c/- War Memorial Library,
2 Queens Drive,
Lower Hutt 5010,
New Zealand",NA,NA
Public,Invercargill City Libraries,"50 Dee Street
Invercargill 9840
New Zealand",-46.4110755,168.3467763
Tertiary,IPU New Zealand Tertiary Institute,"57 Aokautere Drive
Fitzherbert
Palmerston North 4442
New Zealand",-40.3907539,175.6421615
Tertiary,John Kinder Theological Library,"202 St Johns Road
Meadowbank
Auckland 1072
New Zealand",-36.873459,174.8406639
Public,Kaikōura District Library,"Civic Building, Level 1
96 West End
Kaikoura 7300
New Zealand",NA,NA
Public,Kaipara District Libraries,"Dargaville Public Library,
71 Normanby Street,
Dargaville 0310,
New Zealand",NA,NA
Public,Kāpiti Coast District Libraries,"9 Iver Trask Place
Paraparaumu 5032
New Zealand",NA,NA
Public,Kawerau District Library,"Jellicoe Court
Kawerau 3127
New Zealand",-38.0869636,176.7018754
Tertiary,"Laidlaw College, Deane Memorial Library","80 Central Park Drive
Henderson
Auckland 0610
New Zealand",-36.8588638,174.6338018
Tertiary,Lincoln University,"Ellesmere Junction Road/Springs Road
Lincoln Canterbury 7647
New Zealand",NA,NA
Public,Mackenzie Community Library,"Kirke Street
Fairlie
New Zealand",-44.1011691,170.8274597
Public,Manawatū Community Hub Libraries,"64 Stafford Street,
Feilding 4702,
New Zealand",NA,NA
Tertiary,Te Pūkenga trading as Manukau Institute of Technology,"53 Otara Road
Gate 12 NP Block
Otara 2023
New Zealand",NA,NA
Public,Marlborough District Libraries,"15 High Street,
Blenheim Central,
Blenheim 7201,
New Zealand",NA,NA
Tertiary,Massey University,"Tennent Drive
Palmerston North 4410
New Zealand",-40.3745981,175.624298
Public,Masterton District Library,"54 Queen Street
Masterton 5810
New Zealand",-40.9487257,175.6631042
Public,Matamata-Piako District Libraries,"Matamata Public Library
12 Tainui Street
Matamata 3400
New Zealand",NA,NA
Tertiary,Media Design School at Strayer,"10 Madden Street (entrance on Tiramarama Way)
Wynyard Quarter
Central Auckland 1010",NA,NA
Public,Napier Libraries,"1 Tennyson Street
Napier 4110
New Zealand",-39.489865,176.917228
Tertiary,National University of Samoa,"Le-Papaigalagala Campus
Apia
Samoa",NA,NA
Tertiary,"NMIT, part of Te Pūkenga","20 - 22 Alton Street
Nelson 7010
New Zealand",-41.2767147,173.2896287
Public,Nelson Public Libraries,"27 Halifax Street
Nelson 7010
New Zealand",-41.2703029,173.2828722
Tertiary,New Zealand College of Chiropractic,"6 Harrison Road
Mt Wellington
Auckland
New Zealand",-36.8995637,174.8269743
Tertiary,New Zealand School of Export,"Aokautere Park
75 Staces Road RD1
Palmerston North 4471
New Zealand",NA,NA
Tertiary,Northland Polytechnic Limited (NorthTec),"51 Raumanga Valley Road
Whangarei 110
New Zealand",-35.7399642,174.3056799
Tertiary,Open Polytechnic of New Zealand Limited,"3 Cleary Street
Lower Hutt 5011
New Zealand",-41.2194674,174.9302554
Public,Ōpōtiki District Library,"101 Church Street
Opotiki 3122
New Zealand",-38.0061291,177.2843391
Public,Ōtorohanga District Library,"27 Turongo Street
Ōtorohanga 3900
New Zealand",-38.1856293,175.2101216
Tertiary,Pacific International Hotel Management School,"Cnr Devon & Henwood Roads
Bell Block
New Plymouth 4372
New Zealand",NA,NA
Public,Palmerston North City Library,"4-11 The Square
Palmerston North 4410
New Zealand",-40.3568761,175.6127666
Public,Porirua Public Library,"Cnr Norrie & Parumoana Sts
Porirua 5022
New Zealand",NA,NA
Public,Puke Ariki - New Plymouth District Libraries,"1 Ariki Street
New Plymouth 4310
New Zealand",-39.0570161,174.0718873
Public,Queenstown Lakes District Library,"10 Gorge Road,
Queenstown 9300,
New Zealand",-45.0292169,168.6615695
Tertiary,Queenstown Resort College,"QRC House, Level 2
Queenstown 9348
New Zealand",NA,NA
Public,Rangitīkei District Council Libraries,"31 High Street
Marton 4710
New Zealand",NA,NA
Public,Rotorua Library Te Aka Mauri,"1127 Haupapa Street
Rotorua 3010
New Zealand",-38.1356668,176.2528086
Public,Ruapehu District Libraries,"59-63 Huia Street
Taumarunui 3920",-38.8854141,175.2615008
Public,Selwyn Library,"1 South Terrace
Darfield 7510
New Zealand",-43.4905874,172.1172625
