library_type_3,name,street_address,city,latitude,longitude
Public,Timaru District Libraries,"56 Sophia Street
Timaru 7910
New Zealand",NA,-44.395722050404,171.250709710294
Public,Upper Hutt Libraries,"844 Ferguson Drive
Upper Hutt 5018
New Zealand",NA,-41.125876033272,175.068562335832
Public,Waikato District Libraries,"7 Bow Street
Raglan 3225
New Zealand",NA,-37.799964429717,174.868196293185
Public,Waimakariri District Libraries,"141 Percival Street
Rangiora 7400
New Zealand",NA,-43.304347182594,172.593436078676
Public,Waimate District Library,"Queen Street
Waimate 7924
New Zealand",NA,-44.736602721172,171.043225023387
Public,Waipā District Libraries,"c/o Cambridge Public Library
23 Wilson Street
Cambridge 3434
New Zealand",NA,-37.8961693,175.4697319
Public,Wairoa Centennial Library,"212 Marine Parade
Wairoa 4108
New Zealand",NA,-39.033710085337,177.423123678855
Public,Waitaki District Libraries,"62 Thames Street
Oamaru 9400
New Zealand",NA,-45.099722856997,170.969724515513
Public,Waitomo District Library,"Taupiri Street
Te Kuiti 3910
New Zealand",NA,-38.335189532757,175.167370243599
Public,Wanaka Public Library,"1 Bullock Creek Lane
Wanaka 9305
New Zealand",NA,-44.695319894094,169.13723067806
Public,Wellington City Libraries,"65 Victoria Street
Wellington 6011
New Zealand",Wellington,-41.288127718162,174.776531213325
Public,Western Bay of Plenty District Libraries,"16 Talisman Drive
Katikati 3129
New Zealand",NA,-37.553948416898,175.91785627154
Public,Westland District Library,"20 Sewell Street
Hokitika 7810
New Zealand",NA,-42.718905640169,170.963248652855
Public,Whakatāne Libraries and Galleries,"49 Kakahoroa Drive
Whakatane 3120
New Zealand",NA,-37.950523485407,176.993899995924
Public,Whanganui District Library,"Queens Park
Whanganui 4500
New Zealand",NA,-39.9306998,175.0550495
Public,Whangārei Libraries,"5 Rust Avenue
Whangarei 110
New Zealand",NA,-35.724269508256,174.318526170365
Public,Wairarapa Library Service,"50 Holloway Street
Carterton 5713
New Zealand",NA,-41.025549178489,175.528709206511
